current_temperature,device_class,domain,entity_id,friendly_name,humidity,last_changed,last_updated,restored,state,temperature,unit_of_measurement
,running,binary_sensor,binary_sensor.mqtt_io_running,MQTT IO Running,,,,,off,,
,running,binary_sensor,binary_sensor.node_red_running,Node-RED Running,,,,,on,,
,running,binary_sensor,binary_sensor.sabnzbd_running,SABnzbd Running,,,,,on,,
,running,binary_sensor,binary_sensor.spotify_connect_running,Spotify Connect Running,,,,,on,,
,running,binary_sensor,binary_sensor.studio_code_server_running,Studio Code Server Running,,,,,on,,
,running,binary_sensor,binary_sensor.mosquitto_broker_running,Mosquitto broker Running,,,,,on,,
,running,binary_sensor,binary_sensor.tailscale_running,Tailscale Running,,,,,on,,
,running,binary_sensor,binary_sensor.tor_running,Tor Running,,,,,on,,
,running,binary_sensor,binary_sensor.vaultwarden_bitwarden_running,Vaultwarden (Bitwarden) Running,,,,,off,,
,running,binary_sensor,binary_sensor.uptime_kuma_running,Uptime Kuma Running,,,,,on,,
,running,binary_sensor,binary_sensor.zerotier_one_running,ZeroTier One Running,,,,,on,,
,running,binary_sensor,binary_sensor.traccar_running,Traccar Running,,,,,off,,
,running,binary_sensor,binary_sensor.music_assistant_server_running,Music Assistant Server Running,,,,,on,,
,running,binary_sensor,binary_sensor.nginx_proxy_manager_running,Nginx Proxy Manager Running,,,,,on,,
,running,binary_sensor,binary_sensor.jupyterlab_running,JupyterLab Running,,,,,on,,
,running,binary_sensor,binary_sensor.sqlite_web_running,SQLite Web Running,,,,,on,,
,,sensor,sensor.get_hacs_version,Get HACS Version,,,,,1.3.1,,
,,sensor,sensor.get_hacs_newest_version,Get HACS Newest version,,,,,1.3.1,,
,,sensor,sensor.get_hacs_cpu_percent,Get HACS CPU percent,,,,,unavailable,,%
,,sensor,sensor.get_hacs_memory_percent,Get HACS Memory percent,,,,,unavailable,,%
,,sensor,sensor.file_editor_version,File editor Version,,,,,5.8.0,,
,,sensor,sensor.file_editor_newest_version,File editor Newest version,,,,,5.8.0,,
,,sensor,sensor.file_editor_cpu_percent,File editor CPU percent,,,,,0.02,,%
,,sensor,sensor.file_editor_memory_percent,File editor Memory percent,,,,,0.3,,%
,,sensor,sensor.matter_server_version,Matter Server Version,,,,,8.1.1,,
,,sensor,sensor.matter_server_newest_version,Matter Server Newest version,,,,,8.1.1,,
,,sensor,sensor.matter_server_cpu_percent,Matter Server CPU percent,,,,,0.01,,%
,,sensor,sensor.matter_server_memory_percent,Matter Server Memory percent,,,,,0.56,,%
,,sensor,sensor.samba_share_version,Samba share Version,,,,,12.5.2,,
,,sensor,sensor.samba_share_newest_version,Samba share Newest version,,,,,12.5.2,,
,,sensor,sensor.samba_share_cpu_percent,Samba share CPU percent,,,,,0.0,,%
,,sensor,sensor.samba_share_memory_percent,Samba share Memory percent,,,,,0.21,,%
,,sensor,sensor.terminal_ssh_version,Terminal & SSH Version,,,,,9.20.1,,
,,sensor,sensor.terminal_ssh_newest_version,Terminal & SSH Newest version,,,,,9.20.1,,
,,sensor,sensor.terminal_ssh_cpu_percent,Terminal & SSH CPU percent,,,,,0.0,,%
,,sensor,sensor.terminal_ssh_memory_percent,Terminal & SSH Memory percent,,,,,0.04,,%
,,sensor,sensor.vlc_version,VLC Version,,,,,0.3.1,,
,,sensor,sensor.vlc_newest_version,VLC Newest version,,,,,0.3.1,,
,,sensor,sensor.vlc_cpu_percent,VLC CPU percent,,,,,0.0,,%
,,sensor,sensor.vlc_memory_percent,VLC Memory percent,,,,,0.07,,%
,,sensor,sensor.adguard_home_version,AdGuard Home Version,,,,,5.3.4,,
,,sensor,sensor.adguard_home_newest_version,AdGuard Home Newest version,,,,,5.3.4,,
,,sensor,sensor.adguard_home_cpu_percent,AdGuard Home CPU percent,,,,,1.13,,%
,,sensor,sensor.adguard_home_memory_percent,AdGuard Home Memory percent,,,,,0.65,,%
,,sensor,sensor.appdaemon_version,AppDaemon Version,,,,,0.17.10,,
